linkid,site,yr
100002,dh,2019
100006,dh,2017
100006,dh,2018
100006,dh,2019
100007,dh,2017
100007,dh,2019
100008,dh,2017
100008,dh,2019
100010,dh,2019
100011,dh,2019
100012,dh,2017
100012,dh,2018
100012,dh,2019
100013,dh,2017
100013,dh,2018
100015,dh,2017
100015,dh,2019
100017,dh,2017
100017,dh,2018
100017,dh,2019
100019,dh,2017
100025,dh,2017
100025,dh,2018
100025,dh,2019
100032,dh,2017
100032,dh,2019
100042,dh,2017
100042,dh,2019
100045,dh,2017
100045,dh,2018
100045,dh,2019
100046,dh,2017
100046,dh,2019
100050,dh,2018
100062,dh,2017
100062,dh,2018
100062,dh,2019
100065,dh,2017
100065,dh,2018
100065,dh,2019
100067,dh,2019
100068,dh,2017
100068,dh,2018
100068,dh,2019
100072,dh,2017
100074,dh,2017
100074,dh,2018
100074,dh,2019
100078,dh,2017
100079,dh,2017
100079,dh,2018
100080,dh,2018
100080,dh,2019
100087,dh,2017
100091,dh,2018
100101,dh,2017
100116,dh,2017
100116,dh,2018
100116,dh,2019
100117,dh,2017
100117,dh,2018
100117,dh,2019
100118,dh,2017
100119,dh,2017
100119,dh,2018
100127,dh,2018
100127,dh,2019
100128,dh,2017
100128,dh,2018
100128,dh,2019
100134,dh,2019
100135,dh,2017
100135,dh,2019
100138,dh,2018
100139,dh,2017
100139,dh,2018
100140,dh,2019
100143,dh,2017
100143,dh,2018
100143,dh,2019
100148,dh,2019
100156,dh,2019
100158,dh,2017
100159,dh,2017
100159,dh,2018
100159,dh,2019
100163,dh,2017
100163,dh,2018
100163,dh,2019
100167,dh,2019
100172,dh,2017
100172,dh,2018
100172,dh,2019
100173,dh,2017
100173,dh,2018
100173,dh,2019
100175,dh,2017
100175,dh,2019
100180,dh,2017
100180,dh,2018
100184,dh,2017
100184,dh,2018
100184,dh,2019
100186,dh,2018
100187,dh,2017
100187,dh,2018
100187,dh,2019
100197,dh,2017
100198,dh,2018
100201,dh,2018
100201,dh,2019
100204,dh,2017
100204,dh,2018
100205,dh,2017
100205,dh,2018
100205,dh,2019
100213,dh,2019
100215,dh,2018
100215,dh,2019
100218,dh,2017
100218,dh,2018
100218,dh,2019
100227,dh,2018
100228,dh,2018
100231,dh,2017
100231,dh,2018
100231,dh,2019
100233,dh,2017
100233,dh,2018
100233,dh,2019
100234,dh,2018
100236,dh,2018
100236,dh,2019
100240,dh,2017
100240,dh,2018
100240,dh,2019
100242,dh,2017
100242,dh,2018
100242,dh,2019
100251,dh,2019
100259,dh,2019
100261,dh,2017
100261,dh,2019
100263,dh,2017
100263,dh,2018
100263,dh,2019
100272,dh,2017
100272,dh,2018
100272,dh,2019
100273,dh,2017
100273,dh,2019
100275,dh,2017
100275,dh,2018
100275,dh,2019
100279,dh,2017
100279,dh,2018
100280,dh,2017
100280,dh,2019
100289,dh,2017
100291,dh,2018
100291,dh,2019
100300,dh,2018
100302,dh,2019
100304,dh,2017
100304,dh,2019
100305,dh,2019
100307,dh,2017
100307,dh,2018
100307,dh,2019
100310,dh,2018
100310,dh,2019
100312,dh,2017
100312,dh,2018
100312,dh,2019
100314,dh,2019
100317,dh,2017
100318,dh,2017
100318,dh,2018
100318,dh,2019
100319,dh,2017
100319,dh,2019
100320,dh,2019
100321,dh,2019
100324,dh,2017
100324,dh,2019
100325,dh,2018
100325,dh,2019
100331,dh,2017
100331,dh,2018
100331,dh,2019
100332,dh,2018
100336,dh,2017
100336,dh,2018
100336,dh,2019
100337,dh,2017
100337,dh,2018
100339,dh,2018
100339,dh,2019
100357,dh,2017
100357,dh,2018
100359,dh,2017
100359,dh,2018
100359,dh,2019
100363,dh,2017
100363,dh,2018
100363,dh,2019
100364,dh,2017
100364,dh,2018
100364,dh,2019
100365,dh,2018
100367,dh,2018
100367,dh,2019
100371,dh,2017
100371,dh,2018
100375,dh,2019
100377,dh,2017
100377,dh,2018
100377,dh,2019
100380,dh,2017
100380,dh,2018
100380,dh,2019
100384,dh,2017
100384,dh,2018
100384,dh,2019
100392,dh,2017
100392,dh,2019
100393,dh,2017
100396,dh,2018
100396,dh,2019
100401,dh,2019
100404,dh,2017
100404,dh,2018
100408,dh,2018
100417,dh,2017
100417,dh,2019
100422,dh,2017
100422,dh,2018
100423,dh,2017
100423,dh,2018
100423,dh,2019
100424,dh,2017
100430,dh,2019
100432,dh,2017
100432,dh,2018
100432,dh,2019
100436,dh,2017
100440,dh,2017
100440,dh,2018
100440,dh,2019
100441,dh,2018
100441,dh,2019
100443,dh,2018
100443,dh,2019
100444,dh,2017
100445,dh,2017
100445,dh,2018
100445,dh,2019
100447,dh,2017
100447,dh,2018
100447,dh,2019
100449,dh,2017
100449,dh,2018
100450,dh,2017
100451,dh,2017
100451,dh,2019
100455,dh,2017
100455,dh,2018
100455,dh,2019
100457,dh,2019
100458,dh,2018
100460,dh,2017
100462,dh,2018
100462,dh,2019
100463,dh,2017
100463,dh,2018
100463,dh,2019
100466,dh,2017
100466,dh,2018
100466,dh,2019
100468,dh,2017
100468,dh,2018
100470,dh,2017
100473,dh,2018
100475,dh,2017
100475,dh,2018
100475,dh,2019
100476,dh,2017
100476,dh,2018
100476,dh,2019
100478,dh,2017
100480,dh,2019
100482,dh,2017
100482,dh,2018
100482,dh,2019
100483,dh,2017
100483,dh,2018
100483,dh,2019
100485,dh,2018
100485,dh,2019
100486,dh,2019
100487,dh,2019
100488,dh,2018
100491,dh,2019
100492,dh,2017
100493,dh,2019
100494,dh,2017
100494,dh,2018
100494,dh,2019
100499,dh,2018
100500,dh,2017
100500,dh,2018
100500,dh,2019
100507,dh,2019
100509,dh,2019
100510,dh,2018
100510,dh,2019
100513,dh,2017
100513,dh,2018
100513,dh,2019
100514,dh,2017
100514,dh,2018
100514,dh,2019
100515,dh,2017
100515,dh,2018
100515,dh,2019
100516,dh,2017
100516,dh,2018
100516,dh,2019
100517,dh,2019
100520,dh,2017
100521,dh,2018
100521,dh,2019
100524,dh,2018
100526,dh,2017
100526,dh,2018
100526,dh,2019
100528,dh,2017
100528,dh,2018
100528,dh,2019
100530,dh,2017
100532,dh,2017
100532,dh,2018
100532,dh,2019
100533,dh,2018
100535,dh,2019
100536,dh,2018
100537,dh,2017
100538,dh,2018
100538,dh,2019
100540,dh,2017
100540,dh,2019
100541,dh,2017
100541,dh,2018
100541,dh,2019
100542,dh,2018
100542,dh,2019
100543,dh,2017
100543,dh,2019
100544,dh,2017
100544,dh,2018
100544,dh,2019
100548,dh,2018
100549,dh,2019
100550,dh,2017
100550,dh,2018
100550,dh,2019
100551,dh,2017
100552,dh,2017
100552,dh,2018
100552,dh,2019
100553,dh,2017
100553,dh,2018
100553,dh,2019
100555,dh,2019
100564,dh,2017
100564,dh,2018
100565,dh,2017
100565,dh,2018
100565,dh,2019
100568,dh,2017
100568,dh,2018
100568,dh,2019
100570,dh,2017
100570,dh,2019
100571,dh,2017
100571,dh,2019
100574,dh,2017
100574,dh,2018
100574,dh,2019
100575,dh,2017
100575,dh,2018
100575,dh,2019
100576,dh,2017
100577,dh,2018
100578,dh,2017
100578,dh,2019
100579,dh,2018
100579,dh,2019
100580,dh,2017
100582,dh,2017
100582,dh,2018
100582,dh,2019
100584,dh,2017
100584,dh,2019
100586,dh,2019
100589,dh,2019
100592,dh,2017
100592,dh,2018
100592,dh,2019
100593,dh,2017
100594,dh,2017
100594,dh,2018
100594,dh,2019
100595,dh,2017
100595,dh,2018
100598,dh,2018
100598,dh,2019
100600,dh,2019
100601,dh,2017
100601,dh,2018
100601,dh,2019
100603,dh,2018
100606,dh,2017
100606,dh,2018
100606,dh,2019
100610,dh,2017
100610,dh,2018
100610,dh,2019
100612,dh,2017
100612,dh,2018
100612,dh,2019
100613,dh,2017
100613,dh,2018
100613,dh,2019
100616,dh,2017
100616,dh,2018
100617,dh,2018
100617,dh,2019
100619,dh,2019
100620,dh,2019
100626,dh,2017
100626,dh,2018
100627,dh,2018
100627,dh,2019
100634,dh,2017
100634,dh,2018
100634,dh,2019
